2025-02-02 22:53:53 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 22:57:53 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:01:54 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:05:54 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:09:54 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:13:54 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:17:54 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:21:54 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:25:55 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:29:55 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:33:55 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:37:55 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:41:55 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:45:56 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:49:56 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:53:56 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-02 23:57:56 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:01:56 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:05:56 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:09:57 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:13:57 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:17:57 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:21:57 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:25:57 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:29:58 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:33:58 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:37:58 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:41:58 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:45:58 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:49:58 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:53:59 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 00:57:59 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:01:59 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:05:59 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:09:59 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:14:00 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:18:00 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:22:00 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:26:00 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:30:00 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:34:00 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:38:01 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:42:01 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:46:01 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:50:01 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:54:01 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 01:58:02 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:02:02 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:06:02 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:10:02 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:14:02 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:18:02 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:22:03 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:26:03 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:30:03 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:34:03 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:38:03 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:42:04 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
2025-02-03 02:46:04 [INFO] Iteration finsihsed [in gps_simulation.py:77, <module>]
